"","PLAYER","TEAM","YEAR","HT","POS","AGE","Pos","Numb","G","X2PA","X3PA","FTA","Poss","Ast.Pos","Tov.Pos","Stl.G","Blk.G","TS","FTA.G","Three.G","Two.G","Three.Per","Two.Per","FTA.FGA","Three.FGA","OR.G","DR.G","PF.G","adjTempo","adjOE","adjDE"
"32","Christian Mekowulu","Tennessee State","Junior","9-Jun","PF",23.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Christian Vital","UConn","Sophomore","2-Jun","SG",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Cody Martin","Nevada","Junior","7-Jun","SF",22.5,"F",1,36,324,51,147,14.2411111111111,0.329640321448077,0.142389014589998,1.66666666666667,1.47222222222222,1.15083697234352,4.08333333333333,1.41666666666667,9,0.294117647058824,0.552469135802469,0.392,0.136,1.80555555555556,4.44444444444444,2.41666666666667,69.4478,115.961,102.399
"35","Cody Riley","UCLA","Freshman","10-Jun","C",20.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Collin Sexton","Alabama","Freshman","2-Jun","PG",19.2,"G",1,33,307,131,252,19.4206060606061,0.185682186992885,0.143552615154163,0.848484848484849,0.0909090909090909,1.15143565077977,7.63636363636364,3.96969696969697,9.3030303030303,0.33587786259542,0.495114006514658,0.575342465753425,0.299086757990868,1.03030303030303,2.72727272727273,2.45454545454545,68.7051,102.977,100.924
"37","Corey Sanders","Rutgers","Junior","1-Jun","PG",21,"G",3,94,362.333333333333,97,119.333333333333,18.2656136528686,0.183610869825633,0.139574740453032,1.38779956427015,0.314732290222486,0.923354891041345,3.68389780154486,3.0416254043705,11.0639895688915,0.253416595459995,0.437760220493898,0.262996693038375,0.2162782346654,0.51666996765036,3.26911269558328,1.72060474021258,66.8238333333333,97.7939666666667,99.8947
"38","De'Anthony Melton","Southern California","Junior","3-Jun","PG/SG",19.8,"G",1,36,157,74,109,9.52666666666667,0.364473991135993,0.186610683461628,1.91666666666667,1.02777777777778,1.07542299971322,3.02777777777778,2.05555555555556,4.36111111111111,0.283783783783784,0.509554140127389,0.471861471861472,0.32034632034632,1.38888888888889,3.33333333333333,2.25,68.7483,114.153,100.7
"39","DeAndre Ayton","Arizona","Freshman","Jul-00","C",19.7,"F",1,35,416,35,191,17.2582857142857,0.0943646116151248,0.114230845639362,0.571428571428571,1.88571428571429,1.31578947368421,5.45714285714286,1,11.8857142857143,0.342857142857143,0.634615384615385,0.42350332594235,0.0776053215077605,3.37142857142857,8.2,2.31428571428571,67.1464,115.513,102.79
"40","DeAngelo Isby","Utah State","Junior","2-Jun","SG",21.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Demajeo Wiggins","Bowling Green","Junior","1-Jun","PF",20.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
