"","player","season_end","salary","season_start","Salary.Cap","Per.Cap","fifth","Pos.x","Age","HT","WT","WS","Pos2","RSCI","percentile","Pos.y","School","Numb","G","X2PA","X3PA","FTA","Poss","Ast.Pos","Tov.Pos","Stl.G","Blk.G","TS","FTA.G","Three.G","Two.G","Three.Per","Two.Per","FTA.FGA","Three.FGA","OR.G","DR.G","PF.G","adjTempo","adjOE","adjDE"
"46","Chris Kaman",2009,9500000,2008,58680000,0.161895023858214,2009,"C",20.8,84,252,83,"Big","NR",0.66,"C","Central Michigan",1,31,392,0,275,20.9677419354839,0.0569230769230769,0.210769230769231,0.612903225806452,3.16129032258065,1.35282651072125,8.87096774193548,0,12.6451612903226,0,0.622448979591837,0.701530612244898,0,3.61290322580645,8.41935483870968,3.19354838709677,71.6776,109.457,99.4438
"47","Chris Paul",2010,13520500,2009,57700000,0.234324090121317,2010,"PG",19.8,73,178,76,"PG","Top25",0.923076923076923,"G","Wake Forest",2,63,208.666666666667,93.3333333333333,184,14.8211021505376,0.430550593450575,0.184739749519004,2.48655913978495,0.149865591397849,1.25249503304014,5.80981182795699,2.94556451612903,6.58333333333333,0.471189962439063,0.464190289996742,0.611407496752644,0.309387950763902,0.684139784946237,3.40188172043011,2.57930107526882,69.4150666666667,123.406666666667,99.6034333333333
"48","Cole Aldrich",2016,1100600,2015,7e+07,0.0157228571428571,2016,"C",21.3,83,236,90,"Big","Top25",0.06,"C","Kansas",3,111,257.333333333333,0,137.166666666667,10.2830952380952,0.072821028679822,0.141478850224876,0.620833333333333,2.77301587301587,1.22574487481476,3.83333333333333,0,7.19781746031746,0,0.566676656197002,0.530459375037688,0,2.67896825396825,6.41924603174603,2.33492063492064,67.1501166666667,118.507333333333,88.77325
"49","Corey Brewer",2012,3059000,2011,58044000,0.0527013989387361,2012,"SF",21,80,185,80,"Wing","Top25",0.295454545454545,"F","Florida",3,108,221.833333333333,106,139.5,12.917827009702,0.225554569762607,0.190564115447091,1.69338328713329,0.407163172788173,1.15655685286078,3.76473348348348,2.83687413374913,5.97380313005313,0.357383466206996,0.5374056925594,0.433102859793581,0.315185411018103,1.23164630977131,3.26885178447679,2.18224113536614,66.0916833333333,120.097666666667,91.2787833333333
"50","Cory Joseph",2016,7000000,2015,7e+07,0.1,2016,"PG/SG",19.4,75,186,76,"PG","Top25",0.4375,"G","Texas",1,36,196,126,73,11.3366666666667,0.267078310300892,0.13231402528668,1.02777777777778,0.305555555555556,1.05896306336835,2.02777777777778,3.5,5.44444444444444,0.412698412698413,0.428571428571429,0.226708074534162,0.391304347826087,0.638888888888889,2.91666666666667,1.80555555555556,65.5154,115.495,89.5607
"51","Courtney Lee",2014,5225000,2013,58679000,0.0890437805688577,2014,"SG/SF",22.4,77,200,81,"Wing","NR",0.782608695652174,"G","Western Kentucky",4,127,298,156.9,134.6,18.2516086021505,0.120023173312773,0.140278127256705,1.86297491039427,0.662616487455197,1.16554036160968,4.0789247311828,4.82795698924731,9.08666666666667,0.400482312095001,0.503035796379406,0.290461907310728,0.34851591937192,1.59709677419355,3.51347670250896,2.4941935483871,68.10567,111.9569,102.19652
"52","Craig Smith",2011,2300000,2010,58044000,0.0396251119840121,2011,"PF",22.3,78,259,81,"Big","NR",0.2,"F","Boston College",4,130,398.5,16.4,195.8,17.5387652802315,0.121902267599516,0.130336838367089,1.34150290446175,0.723498149723367,1.17008438725313,5.92429642231383,0.510726515300225,12.138983038525,0.198446115288221,0.564611224854296,0.471244752989889,0.0397226543795893,3.02767417682683,5.74207434549645,2.78133147215134,63.3868,115.2774,97.91728
"53","D.J. Augustin",2017,7250000,2016,94143000,0.0770105052951361,2017,"PG",20.3,71,172,75,"PG","Top50",0.461538461538462,"G","Texas",2,73,318.333333333333,163.333333333333,207,18.3267368421053,0.338524656475802,0.164348018893378,1.32932330827068,0.0285714285714286,1.14931964178825,5.58195488721805,4.3749373433584,8.55839598997494,0.40135435617546,0.464486209421528,0.44134791588401,0.333850107323199,0.550877192982456,2.35689223057644,1.84160401002506,65.1445333333333,120.23,97.0925333333333
"54","Daequan Cook",2013,589769,2012,58044000,0.0101607228998691,2013,"SG",19.8,78,203,80,"Wing","Top25",0.125,"G","Ohio State",1,39,187,130,66,10.308717948718,0.0994925878022087,0.139289622923092,0.717948717948718,0.256410256410256,1.10391862212461,1.69230769230769,3.33333333333333,4.79487179487179,0.415384615384615,0.46524064171123,0.20820189274448,0.410094637223975,0.717948717948718,3.56410256410256,1.69230769230769,64.8543,120.981,91.6524
"55","Dahntay Jones",2009,926678,2008,58680000,0.0157920586230402,2009,"SG/SF",22.2,78,214,81,"Wing","NR",0.173913043478261,"F","Duke",1,33,303,118,187,17.16,0.0512114148477785,0.111252383979657,1.15151515151515,0.545454545454545,1.15840089016055,5.66666666666667,3.57575757575758,9.18181818181818,0.398305084745763,0.498349834983498,0.444180522565321,0.280285035629454,1.39393939393939,4.06060606060606,3.06060606060606,70.6872,115.019,91.2701
