,,247Sports,AS,College,DT,Draft,ESPN,FS,From,HM,HS,High School,MP,PS,Pk,Player,PrepStars,RC,RH,RH/PS,RSCI,Rd,Rivals,SC,SI,SN,SS,Scout,Tm,To,VC,WS
29,,,,Maryland,33,,,,,,,,25,38,,Robert Carter (college),,33,,,30,,,22,,,,,,,29,
30,,,,University of Kansas,35,,,,,,,"Wichita Heights (Wichita, KS)",36,30,,Perry Ellis (college),,24,,,31,,,33,,,,,,,30,
31,,,,Baylor,36,,,,,,,,42,22,,Rico Gathers (college),,37,,,32,,,34,,,,,,,31,
32,,,,San Diego State,53,,,,,,,,26,40,,Winston Shepard (college),,21,,,33,,,32,,,,,,,33,
33,,,,Texas,30,,,,,,,,22,34,,Shaquille Cleare (college),,53,,,34,,,37,,,,,,,37,
34,,,,Memphis,31,,,,,,,,24,50,,Shaq Goodwin (college),,44,,,35,,,38,,,,,,,36,
35,,,,Southern California,47,,,,,,,,31,47,,Katin Reinhardt (college),,38,,,36,,,40,,,,,,,35,
36,,,,Georgetown University,58,,,,,,,"Oak Hill Academy (Mouth of Wilson, VA)",44,33,,D'Vauntes Smith-Rivera (college),,32,,,37,,,41,,,,,,,38,
37,,,,University of Kentucky,40,2015,,,2016,,,"Olathe Northwest (Olathe, KS)",34,43,6,Willie Cauley-Stein (college),,40,,,38,1,,48,,,,,SAC,2018,44,10.7
38,,,,Connecticut,32,,,,,,,,40,35,,Omar Calhoun (college),,39,,,39,,,58,,,,,,,47,
39,,,,University of North Carolina,34,2016,,,2017,,,"Edisto (Cordova, SC)",35,46,25,Brice Johnson (college),,49,,,40,1,,50,,,,,LAC,2018,39,0.3
40,,,,Syracuse University,37,2014,,,2015,,,"DeMatha (Hyattsville, MD)",38,54,39,Jerami Grant (college),,64,,,41,2,,39,,,,,PHI,2018,43,13.9
41,,,,Iowa,39,,,,,,,,50,55,,Adam Woodbury (college),,50,,,42,,,47,,,,,,,42,
42,,,,Butler,44,,,,,,,,67,29,,Tyler Lewis (college),,48,,,43,,,56,,,,,,,40,
43,,,,Georgia State,42,,,,,,,,48,78,,Jeremy Hollowell (college),,41,,,44,,,28,,,,,,,49,
44,,,,Villanova University,54,,,,2017,,,"Downingtown East (Downingtown, PA)",64,41,,Daniel Ochefu (college),,42,,,T44,,,44,,,,,,2017,41,0.0
45,,,,Jacksonville State,64,,,,,,,,49,42,,Cameron Biedscheid (college),,28,,,46,,,45,,,,,,,60,
46,,,,Arizona,65,,,,,,,,27,36,,Gabe York (college),,46,,,47,,,82,,,,,,,34,
47,,,,University of Virginia,49,2015,,,2016,,,"Montrose Christian (Rockville, MD)",46,52,21,Justin Anderson (college),,35,,,48,1,,62,,,,,DAL,2018,53,6.2
48,,,,Xavier University,,2014,,,2017,,,"Brewster Academy (Wolfeboro, NH)",59,32,55,Semaj Christon (college),,31,,,49,2,,24,,,,,MIA,2017,52,0.1
49,,,,East Tennessee State,71,,,,,,,,52,48,,Hanner Mosquera-Perea (college),,43,,,50,,,49,,,,,,,46,
50,,,,Colorado,38,,,,,,,,41,65,,Josh Scott (college),,61,,,T50,,,46,,,,,,,58,
51,,,,Syracuse University,48,,,,2018,,,"Miller School of Albemarle (Charlottesville, VA)",47,82,,Andrew White (college),,51,,,52,,,42,,,,,,2018,51,-0.1
52,,,,University of Washington,55,,,,,,,"San Joaquin Memorial (Fresno, CA)",54,59,,Robert Upshaw (college),,52,,,53,,,53,,,,,,,54,
53,,,,Charlotte,50,,,,,,,,45,64,,Braxton Ogbueze (college),,78,,,54,,,43,,,,,,,48,
54,,,,Villanova University,46,,,,2018,,,"Neshaminy (Langhorne, PA)",63,37,,Ryan Arcidiacono (college),,57,,,55,,,60,,,,,,2018,66,0.3
55,,,,Texas-El Paso,62,,,,,,,,66,49,,Dominic Artis (college),,47,,,56,,,55,,,,,,,56,
56,,,,University of North Carolina,70,2015,,,,,,"Menomonee Falls (Menomonee Falls, WI)",58,44,58,J.P. Tokoto (college),,45,,,57,2,,75,,,,,PHI,,59,
57,,,,North Carolina,60,,,,,,,,53,67,,Joel James (college),,65,,,58,,,51,,,,,,,62,
58,,,,"University of California, Los Angeles",41,2014,,,2015,,,"Oak Hill Academy (Mouth of Wilson, VA)",57,74,22,Jordan Adams (college),,62,,,59,1,,76,,,,,MEM,2016,57,0.4
59,,,,Florida State,57,,,,,,,,73,56,,Montay Brandon (college),,60,,,60,,,54,,,,,,,70,
60,,,,West Virginia,45,,,,,,,,78,61,,Elijah Macon (college),,56,,,61,,,64,,,,,,,68,
61,,,,Texas,59,,,,,,,,84,53,,Prince Ibeh (college),,55,,,62,,,52,,,,,,,74,
62,,,,Pittsburgh,43,,,,,,,,56,57,,James Robinson (college),,59,,,63,,,83,,,,,,,80,
63,,,,Houston,51,,,,,,,,62,86,,Danrad Knowles (college),,54,,,64,,,78,,,,,,,55,
64,,,,Texas A&M,73,,,,,,,,51,60,,J'Mychal Reese (college),,68,,,65,,,67,,,,,,,69,
65,,,,Houston,63,,,,,,,,70,45,,L.J. Rose (college),,74,,,66,,,61,,,,,,,76,
66,,,,Colorado,68,,,,,,,,43,77,,Xavier Johnson (college),,75,,,67,,,57,,,,,,,75,
67,,,,University of Maryland,67,2016,,,2017,,,"King Philip Regional (Wrentham, MA)",61,68,47,Jake Layman (college),,70,,,T67,2,,65,,,,,ORL,2018,64,-0.3
68,,,,St. John's University,77,,,,,,,"Our Savior New American (Centereach, NY)",72,79,,Chris Obekpa (college),,58,,,69,,,63,,,,,,,50,
69,,,,La Salle,61,,,,,,,,86,51,,Jordan Price (college),,79,,,70,,,68,,,,,,,67,
70,,,,Iowa State University,56,2016,,,2017,,,"Tilton Prep (Tilton, NH)",75,89,50,Georges Niang (college),,69,,,71,2,,71,,,,,IND,2018,61,-0.3
71,,,,Arizona State University,90,,,,,,,"Christian Faith Center Academy (Creedmoor, NC)",77,62,,Torian Graham (college),,67,,,72,,,74,,,,,,,63,
72,,,,Stanford,66,,,,,,,,87,63,,Rosco Allen (college),,73,,,73,,,80,,,,,,,79,
73,,,,Virginia,52,,,,,,,,55,,,Evan Nolte (college),,91,,,74,,,79,,,,,,,71,
74,,,,Wake Forest,79,,,,,,,,100,71,,Codi Miller-McIntyre (college),,66,,,75,,,85,,,,,,,78,
75,,,,University of Louisville,74,2015,,,2016,,,"Hargrave Military Academy (Chatham, VA)",71,100,16,Terry Rozier (college),,80,,,T75,1,,69,,,,,BOS,2018,85,6.7
76,,,,Purdue University,81,2016,,,2017,,,"Oak Hill Academy (Mouth of Wilson, VA)",74,95,46,A.J. Hammons (college),,77,,,T75,2,,66,,,,,DAL,2017,86,-0.0
77,,,,University of Michigan,76,,,,2015,,,"St. Mark's School (Southborough, MA)",99,58,,Nik Stauskas (college),,71,,,78,,,88,,,,,,2018,92,3.1
78,,,,St. John's University,,,,,2015,,,"Brewster Academy (Wolfeboro, NH)",,,,JaKarr Sampson (college),,,,,79,,,36,,,,,,2018,45,1.7
79,,,,Texas,72,,,,,,,,88,66,,Javan Felix (college),,,,,80,,,91,,,,,,,77,
80,,,,Texas A&M University,99,,,,2018,,,"A&M Consolidated (College Station, TX)",69,72,,Alex Caruso (college),,84,,,81,,,89,,,,,,2018,83,0.5
81,,,,Toledo,83,,,,,,,,,84,,Steve Taylor (college),,,,,82,,,73,,,,,,,72,
82,,,,Arizona State,100,,,,,,,,,75,,Savon Goodman (college),,72,,,T82,,,,,,,,,,65,
83,,,,Virginia Commonwealth,84,,,,,,,,68,,,Melvin Johnson (college),,99,,,84,,,77,,,,,,,94,
84,,,,University of Louisville,89,2015,,,2016,,,"Hargrave Military Academy (Chatham, VA)",,94,32,Montrezl Harrell (college),,82,,,85,2,,72,,,,,HOU,2018,87,10.5
85,,,,University of Florida,,,,,,,,"Montverde Academy (Montverde, FL)",76,70,,Michael Frazier (college),,88,,,86,,,,,,,,,,90,
86,,,,Michigan State University,86,,,,2018,,,"Bay City Western (Auburn, MI)",60,,,Matt Costello (college),,83,,,T86,,,95,,,,,,2018,,0.1
87,,,,Iowa,75,,,,,,,,97,97,,Mike Gesell (college),,100,,,88,,,86,,,,,,,73,
88,,,,Michigan State University,97,2016,,,2017,,,"Sexton (Lansing, MI)",79,69,14,Denzel Valentine (college),,81,,,T88,1,,,,,,,CHI,2018,,3.1
89,,,,Towson,,,,,,,,,65,87,,Arnaud William Adala Moto (college),,,,,90,,,94,,,,,,,82,
90,,,,Georgia Institute of Technology,69,,,,2017,,,"North Clayton (College Park, GA)",80,93,,Marcus Georges-Hunt (college),,95,,,91,,,93,,,,,,2018,,0.3
91,,,,University of Virginia,80,,,,2017,,,"Blair Academy (Blairstown, NJ)",,,,Mike Tobey (college),,76,,,92,,,87,,,,,,2017,93,-0.0
92,,,,Houston,92,,,,,,,,90,90,,Ronnie Johnson (college),,94,,,T92,,,84,,,,,,,88,
93,,,,,,,,,,,,,,80,,Anthony January,,63,,,94,,,,,,,,,,,
94,,,,University of California,,2016,,,2018,,,"Bakersfield (Bakersfield, CA)",95,73,60,Tyrone Wallace (college),,87,,,T94,2,,90,,,,,UTA,2018,,0.7
95,,,,Butler,78,,,,,,,,,,,Kellen Dunham (college),,93,,,96,,,96,,,,,,,84,
96,,,,Stanford,88,,,,,,,,89,,,Grant Verhoeven (college),,,,,97,,,81,,,,,,,95,
97,,,,Ohio,85,,,,,,,,82,,,Kenny Kaminski (college),,,,,98,,,,,,,,,,89,
98,,,,Utah,96,,,,,,,,83,81,,Jordan Loveridge (college),,,,,T98,,,,,,,,,,97,
99,,,,Florida State,,,,,,,,,,,,Aaron Thomas (college),,,,,100,,,59,,,,,,,,
0,,,,University of Kentucky,1,2012,,,2013,,,"Perspectives Charter School (Chicago, IL)",,,1,Anthony Davis (college),,2,,1,1,1,,1,,,,,NOH,2018,1,62.5
1,,,,Duke University,2,2012,,,2013,,,"Winter Park (Winter Park, FL)",,,10,Austin Rivers (college),,1,,3,2,1,,2,,,,,NOH,2018,2,9.4
2,,,,University of Kentucky,3,2012,,,2013,,,"Saint Patrick (Elizabeth, NJ)",,,2,Michael Kidd-Gilchrist (college),,3,,2,3,1,,5,,,,,CHA,2018,3,18.7
3,,,,University of Florida,4,2012,,,2013,,,"Chaminade College Preparatory School (St. Louis, MO)",,,3,Bradley Beal (college),,4,,4,4,1,,6,,,,,WAS,2018,4,28.9
4,,,,Baylor University,6,2012,,,2013,,,"Westchester Country Day (High Point, NC)",,,38,Quincy Miller (college),,7,,5,5,2,,3,,,,,DEN,2015,6,-0.1
5,,,,University of North Carolina,5,,,,2015,,,"Norfolk Christian (Norfolk, VA)",,,,James Michael McAdoo (college),,8,,8,6,,,4,,,,,,2018,5,2.4
6,,,,University of Kentucky,7,2012,,,2013,,,"Pike (Indianapolis, IN)",,,29,Marquis Teague (college),,5,,6,7,1,,7,,,,,CHI,2018,7,-1.4
7,,,,Oklahoma State University,9,,,,,,,"Lincoln (Dallas, TX)",,,,Le'Bryan Nash (college),,6,,9,8,,,8,,,,,,,8,
8,,,,University of Memphis,8,,,,2014,,,"Melrose (Memphis, TN)",,,,Adonis Thomas (college),,17,,7,9,,,9,,,,,,2014,10,0.0
9,,,,Indiana University,13,2013,,,2014,,,"Washington (Washington, IN)",,,4,Cody Zeller (college),,15,,11,10,1,,12,,,,,CHA,2018,9,20.2
10,,,,"University of Nevada, Las Vegas",11,,,,2018,,,"Notre Dame Prep (Fitchburg, MA)",,,,Khem Birch (college),,9,,25,11,,,14,,,,,,2018,11,1.8
11,,,,University of North Carolina,12,2014,,,2015,,,"Hargrave Military Academy (Chatham, VA)",,,26,P.J. Hairston (college),,13,,12,T11,1,,20,,,,,MIA,2016,13,1.4
12,,,,University of Texas at Austin,10,,,,,,,"Findlay Prep (Henderson, NV)",,,,Myck Kabongo (college),,26,,14,13,,,10,,,,,,,12,
13,,,,Arizona,14,,,,,,,,,,,Josiah Turner (college),,11,,13,14,,,15,,,,,,,20,
14,,,,University of Georgia,23,2013,,,2014,,,"Greenville (Greenville, GA)",,,8,Kentavious Caldwell-Pope (college),,12,,10,15,1,,11,,,,,DET,2018,18,19.8
15,,,,University of Missouri,25,,,,2015,,,"Oakland High School (Oakland, CA)",,,,Jabari Brown (college),,19,,15,16,,,17,,,,,,2015,14,0.4
16,,,,Michigan State University,22,2015,,,2016,,,"Lew Wallace (Gary, IN)",,,56,Branden Dawson (college),,20,,20,17,2,,13,,,,,NOP,2016,17,0.0
17,,,,University of Washington,16,2012,,,2013,,,"Garfield (Seattle, WA)",,,25,Tony Wroten (college),,14,,31,18,1,,18,,,,,MEM,2016,15,-1.3
18,,,,Gonzaga University,18,,,,2017,,,"Jesuit (Portland, OR)",,,,Kyle Wiltjer (college),,22,,21,19,,,22,,,,,,2017,16,-0.0
19,,,,University of Arkansas,15,,,,,,,"McCluer North (Florissant, MO)",,,,B.J. Young (college),,25,,23,20,,,21,,,,,,,19,
20,,,,Syracuse University,19,2015,,,2016,,,"Academy of the New Church (Bryn Athyn, PA)",,,36,Rakeem Christmas (college),,27,,22,21,2,,19,,,,,MIN,2017,26,0.5
21,,,,University of Florida,17,,,,2017,,,"I.C. Norcom (Portsmouth, VA)",,,,Dorian Finney-Smith (college),,31,,18,22,,,25,,,,,,2018,23,1.6
22,,,,University of Arizona,21,2014,,,2015,,,"Findlay Prep (Henderson, NV)",,,42,Nick Johnson (college),,18,,26,T22,2,,27,,,,,HOU,2015,22,-0.1
23,,,,Louisville,27,,,,,,,,,,,Chane Behanan (college),,21,,17,24,,,23,,,,,,,27,
24,,,,Syracuse University,20,2013,,,2014,,,"St. Andrew's School (Barrington, RI)",,,11,Michael Carter-Williams (college),,29,,19,25,1,,33,,,,,PHI,2018,25,5.2
25,,,,Louisville,26,,,,,,,,,,,Wayne Blackshear (college),,36,,30,26,,,16,,,,,,,24,
26,,,,Duke University,30,2014,,,2015,,,"Meridian (Meridian, MS)",,,23,Rodney Hood (college),,16,,45,27,1,,24,,,,,UTA,2018,29,16.2
27,,,,Syracuse University,28,2016,,,2017,,,"Benedictine College Prep (Richmond, VA)",,,49,Michael Gbinije (college),,35,,24,28,2,,26,,,,,DET,2017,35,-0.1
28,,,,Alabama,29,,,,,,,"Bob Jones (Madison, AL)",,,,Levi Randolph (college),,30,,39,29,,,30,,,,,,,32,
29,,,,Arizona State,49,,,,,,,,,,,Jahii Carson (college),,33,,27,30,,,32,,,,,,,28,
30,,,,Duke University,37,,,,2017,,,"Oak Hill Academy (Mouth of Wilson, VA)",,,,Quinn Cook (college),,38,,32,31,,,36,,,,,,2018,33,1.9
31,,,,Ohio State University,33,,,,,,,"Milton (Milton, GA)",,,,Shannon Scott (college),,53,,29,32,,,31,,,,,,,31,
32,,,,University of Connecticut,,2014,,,,,,"IMG Academy (Bradenton, FL)",,,37,DeAndre Daniels (college),,10,,16,T32,2,,29,,,,,TOR,,21,
33,,,,Georgetown University,41,2013,,,2014,,,"Scott County Central (Sikeston, MO)",,,3,Otto Porter (college),,37,,33,34,1,,28,,,,,WAS,2018,39,25.8
34,,,,St. John's University,24,2015,,,,,,"Quality Education Academy (Winston-Salem, NC)",,,53,Sir'Dominic Pointer (college),,44,,36,35,2,,41,,,,,CLE,,43,
35,,,,North Carolina State,39,,,,,,,,,,,Trevor Lacey (college),,24,,52,36,,,59,,,,,,,30,
36,,,,College of Charleston,58,,,,,,,,,,,Adjehi Baru (college),,28,,44,37,,,39,,,,,,,41,
37,,,,St. John's University,38,2012,,,2013,,,"South Kent School (South Kent, CT)",,,15,Maurice Harkless (college),,41,,42,38,1,,45,,,,,PHI,2018,46,15.8
38,,,,Louisiana State University,45,,,,2015,,,"East Side (Cleveland, MS)",,,,Johnny O'Bryant (college),,46,,43,39,,,38,,,,,,2018,42,0.4
39,,,,St. John's University,31,,,,2015,,,"Brewster Academy (Wolfeboro, NH)",,,,Jakarr Sampson (college),,51,,57,40,,,40,,,,,,2018,36,1.7
40,,,,University of Kansas,48,2013,,,2014,,,"Christian Life Center (Humble, TX)",,,7,Ben McLemore (college),,34,,35,41,1,,54,,,,,SAC,2018,48,4.5
41,,,,Arkansas,35,,,,,,,,,,,Rashad Madden (college),,32,,82,42,,,34,,,,,,,38,
42,,,,Long Beach State,36,,,,,,,,,,,Nick Faust (college),,48,,47,43,,,49,,,,,,,44,
43,,,,Ohio State,52,,,,,,,,,,,LaQuinton Ross (college),,43,,48,44,,,43,,,,,,,40,
44,,,,Vanderbilt,32,,,,,,,,,,,Dai-Jon Parker (college),,63,,71,45,,,35,,,,,,,37,
45,,,,Ohio State University,44,,,,,,,"Whitney Young (Chicago, IL)",,,,Sam Thompson (college),,50,,46,46,,,50,,,,,,,49,
46,,,,St. John's (NY),63,,,,,,,,,,,D'Angelo Harrison (college),,40,,28,47,,,62,,,,,,,47,
47,,,,University of Miami,46,,,,2017,,,"Bellaire (Bellaire, TX)",,,,Sheldon McClellan (college),,60,,41,48,,,42,,,,,,2017,54,0.5
48,,,,Florida,40,,,,,,,,,,,Alex Murphy (college),,45,,,49,,,37,,,,,,,34,
49,,,,Ohio State,42,,,,,,,,,,,Amir Williams (college),,77,,53,50,,,48,,,,,,,45,
50,,,,,76,,,,,,,,,,,Norvel Pelle,,23,,38,51,,,79,,,,,,,50,
51,,,,St. John's (NY),50,,,,,,,,,,,Jamal Branch (college),,65,,51,52,,,46,,,,,,,55,
52,,,,"University of California, Los Angeles",51,2015,,,2016,,,"Lincoln (San Diego, CA)",,,46,Norman Powell (college),,69,,54,53,2,,55,,,,,MIL,2018,51,5.0
53,,,,University of Maryland,47,,,,,,,"Hargrave Military Academy (Chatham, VA)",,,,Dez Wells (college),,76,,66,54,,,44,,,,,,,53,
54,,,,Oregon,43,,,,,,,,,,,Michael Chandler (college),,55,,55,55,,,61,,,,,,,76,
55,,,,South Carolina,65,,,,,,,,,,,Tyrone Johnson (college),,52,,70,56,,,56,,,,,,,57,
56,,,,Missouri,53,,,,,,,,,,,Deuce Bello (college),,54,,89,T56,,,52,,,,,,,52,
57,,,,Louisville,56,,,,,,,,,,,Zach Price (college),,67,,61,58,,,65,,,,,,,56,
58,,,,San Diego State,60,,,,,,,,,,,Angelo Chol (college),,73,,69,59,,,47,,,,,,,62,
59,,,,Louisville,66,,,,,,,,,,,Chris Jones (college),,47,,65,T59,,,72,,,,,,,61,
60,,,,Duke University,34,,,,2017,,,"Christ School (Arden, NC)",,,,Marshall Plumlee (college),,79,,77,61,,,68,,,,,,2018,59,0.3
61,,,,Florida State,71,,,,,,,,,,,Aaron Thomas (college),,56,,58,62,,,63,,,,,,,71,
62,,,,Stanford University,59,,,,2017,,,"Rock Island (Rock Island, IL)",,,,Chasson Randle (college),,78,,56,63,,,60,,,,,,2017,68,1.3
63,,,,University of Connecticut,73,,,,,,,"East Aurora (Aurora, IL)",,,,Ryan Boatright (college),,42,,49,64,,,77,,,,,,,84,
64,,,,Bradley,89,,,,,,,,,,,Mike Shaw (college),,59,,40,65,,,75,,,,,,,67,
65,,,,DePaul University,95,,,,2018,,,"Orr (Chicago, IL)",,,,Myke Henry (college),,39,,60,66,,,64,,,,,,2018,78,0.1
66,,,,Texas A&M,70,,,,,,,,,,,Antwan Space (college),,91,,72,67,,,58,,,,,,,58,
67,,,,Fresno State,75,,,,,,,,,,,Julien Lewis (college),,57,,59,68,,,86,,,,,,,73,
68,,,,Illinois,85,,,,,,,,,,,Tracy Abrams (college),,58,,62,69,,,71,,,,,,,77,
69,,,,University of Texas at Austin,61,,,,,,,"Antonian College Prep (San Antonio, TX)",,,,Jonathan Holmes (college),,89,,74,70,,,66,,,,,,,66,
70,,,,Kansas,54,,,,,,,,,,,Hunter Mickelson (college),,100,,81,71,,,53,,,,,,,69,
71,,,,George Mason,68,,,,,,,,,,,Julian Royal (college),,,,68,72,,,69,,,,,,,60,
72,,,,St. John's (NY),97,,,,,,,,,,,Amir Garrett (college),,68,,63,73,,,80,,,,,,,65,
73,,,,Fairfield,57,,,,,,,,,,,Malcolm Gilbert (college),,,,34,74,,,83,,,,,,,99,
74,,,,Georgia State,94,,,,,,,,,,,Kevin Ware (college),,70,,37,T74,,,99,,,,,,,74,
75,,,,George Mason,55,,,,,,,,,,,Erik Copes (college),,,,,76,,,57,,,,,,,64,
76,,,,Gonzaga,67,,,,,,,,,,,Gary Bell (college),,75,,,77,,,70,,,,,,,79,
77,,,,University of Illinois at Urbana-Champaign,69,,,,,,,"Saint Ignatius (Chicago, IL)",,,,Nnanna Egwu (college),,97,,83,78,,,67,,,,,,,83,
78,,,,Syracuse,64,,,,,,,,,,,Trevor Cooney (college),,,,,79,,,73,,,,,,,63,
79,,,,Georgetown,,,,,,,,,,,,Tyler Adams (college),,62,,67,80,,,95,,,,,,,85,
80,,,,Rutgers,62,,,,,,,,,,,Myles Mack (college),,,,94,81,,,82,,,,,,,75,
81,,,,Marquette,,,,,,,,,,,,Juan Anderson (college),,61,,64,T81,,,90,,,,,,,98,
82,,,,Pittsburgh,81,,,,,,,,,,,Joseph Uchebo (college),,96,,76,83,,,76,,,,,,,87,
83,,,,Fresno State,,,,,,,,,,,,Cezar Guerrero (college),,71,,73,T83,,,,,,,,,,70,
84,,,,Massachusetts,,,,,,,,,,,,Jabarie Hinds (college),,93,,,85,,,51,,,,,,,86,
85,,,,Alabama-Birmingham,80,,,,,,,,,,,Robert Brown (college),,82,,93,86,,,97,,,,,,,81,
86,,,,Seton Hall,,,,,,,,,,,,Derrick Gordon (college),,,,50,T86,,,,,,,,,,80,
87,,,,Mississippi State,96,,,,,,,,,,,D.J. Gardner,,64,,,T86,,,84,,,,,,,88,
88,,,,Providence,92,,,,,,,,,,,Sidiki Johnson (college),,84,,,89,,,85,,,,,,,72,
89,,,,Alabama,,,,,,,,,,,,Rodney Cooper (college),,49,,85,90,,,,,,,,,,,
90,,,,Kansas,84,,,,,,,,,,,Naadir Tharpe (college),,92,,,91,,,81,,,,,,,89,
91,,,,Tennessee-Martin,,,,,,,,,,,,Deville Smith (college),,74,,75,92,,,,,,,,,,,
92,,,,Cincinnati,,,,,,,,,,,,Shaquille Thomas (college),,81,,97,93,,,78,,,,,,,100,
93,,,,University of Virginia,72,2016,,,2017,,,"Greater Atlanta Christian (Norcross, GA)",,,36,Malcolm Brogdon (college),,,,86,94,2,,,,,,,MIL,2018,100,6.9
94,,,,Memphis,83,,,,,,,,,,,Kedren Johnson (college),,80,,99,95,,,100,,,,,,,100,
95,,,,Charlotte,,,,,,,,,,,,Bernard Sullivan (college),,83,,,96,,,87,,,,,,,91,
96,,,,Detroit Mercy,74,,,,,,,,,,,Carlton Brundidge (college),,,,92,97,,,98,,,,,,,100,
97,,,,Georgetown,77,,,,,,,,,,,Mikael Hopkins (college),,87,,,98,,,,,,,,,,100,
98,,,,South Carolina,100,,,,,,,,,,,Damien Leonard (college),,85,,88,99,,,,,,,,,,93,
99,,,,Virginia Tech,98,,,,,,,,,,,C.J. Barksdale (college),,99,,,100,,,74,,,,,,,96,
0,,,,University of North Carolina,1,2012,,,2013,1,,"Ames (Ames, IA)",,1,7,Harrison Barnes (college),,2,1,,1,1,,,1,,,,GSW,2018,,26.1
1,,,,Duke University,2,2011,,,2012,4,,"Saint Patrick (Elizabeth, NJ)",,4,1,Kyrie Irving (college),,4,2,,2,1,,,3,,,,CLE,2018,,49.3
2,,,,Ohio State University,4,2012,,,2013,2,,"Northland (Columbus, OH)",,3,21,Jared Sullinger (college),,5,3,,T2,1,,,2,,,,BOS,2017,,15.3
3,,,,University of Kentucky,6,2011,,,2012,3,,"Pine Crest School (Fort Lauderdale, FL)",,5,8,Brandon Knight (college),,6,4,,4,1,,,4,,,,DET,2017,,16.1
4,,,,University of Tennessee,7,2011,,,2012,7,,"Half Hollow Hills West (Dix Hills, NY)",,6,19,Tobias Harris (college),,7,6,,5,1,,,6,,,,CHA,2018,,48.0
5,,,,University of Kansas,5,2011,,,2012,6,,"Lake Clifton (Baltimore, MD)",,12,49,Josh Selby (college),,1,12,,6,2,,,5,,,,MEM,2013,,-0.7
6,,,,,3,2011,,,2012,5,,"Stoneridge Preparatory School (Simi Valley, CA)",,2,3,Enes Kanter,,3,5,,7,1,,,25,,,,UTA,2018,,40.6
7,,,,Baylor University,9,2012,,,2013,10,,"Duncanville (Duncanville, TX)",,11,28,Perry Jones (college),,9,11,,8,1,,,7,,,,OKC,2015,,1.7
8,,,,University of Texas at Austin,10,2011,,,2012,9,,"Findlay College Prep (Henderson, NV)",,7,4,Tristan Thompson (college),,17,7,,9,1,,,10,,,,CLE,2018,,37.4
9,,,,University of Memphis,12,2012,,,2013,11,,"Brewster Academy (Wolfeboro, NH)",,10,40,Will Barton (college),,11,16,,10,2,,,8,,,,POR,2018,,16.5
10,,,,University of Kentucky,8,2012,,,2013,8,,"Jefferson (Portland, OR)",,18,18,Terrence Jones (college),,13,13,,11,1,,,9,,,,HOU,2017,,17.1
11,,,,North Carolina State University,11,,,,,14,,"Word of God Christian Academy (Raleigh, NC)",,9,,C.J. Leslie (college),,14,14,,12,,,,11,,,,,,,
12,,,,University of Texas at Austin,14,2011,,,2012,12,,"Findlay College Prep (Henderson, NV)",,21,29,Cory Joseph (college),,8,15,,13,1,,,16,,,,SAS,2018,,18.3
13,,,,Syracuse University,13,2012,,,2013,25,,"Sagemont School (Sagemont, FL)",,13,22,Fab Melo (college),,16,8,,14,1,,,14,,,,BOS,2013,,0.0
14,,,,University of North Carolina,16,2013,,,2014,15,,"Kinston (Kinston, NC)",,16,25,Reggie Bullock (college),,10,18,,15,1,,,18,,,,LAC,2018,,6.8
15,,,,Memphis,23,,,,,16,,,,15,,Joe Jackson (college),,18,10,,16,,,,21,,,,,,,
16,,,,Ohio State University,24,2013,,,,13,,"Bishop Luers (Fort Wayne, IN)",,14,58,Deshaun Thomas (college),,22,19,,17,2,,,12,,,,SAS,,,
17,,,,Georgetown University,30,,,,,21,,"Kentwood (Kent, WA)",,8,,Joshua Smith (college),,23,9,,18,,,,20,,,,,,,
18,,,,University of Florida,15,,,,,17,,"Providence School (Jacksonville, FL)",,25,,Patric Young (college),,27,26,,19,,,,13,,,,,,,
19,,,,University of North Texas,18,2013,,,2014,19,,"L.G. Pinkston (Dallas, TX)",,29,37,Tony Mitchell (college),,12,25,,20,2,,,24,,,,DET,2014,,0.2
20,,,,Nevada-Las Vegas,20,,,,,18,,,,23,,Jelan Kendrick (college),,15,17,,21,,,,44,,,,,,,
21,,,,Georgia State,25,,,,,28,,,,19,,Ryan Harrow (college),,19,22,,22,,,,39,,,,,,,
22,,,,University of Detroit Mercy,22,2013,,,2014,22,,,,20,36,Ray McCallum (college),,43,28,,T22,2,,,17,,,,SAC,2016,,2.4
23,,,,Illinois,31,,,,,20,,,,26,,Jereme Richmond (college),,35,21,,24,,,,23,,,,,,,
24,,,,University of North Carolina,29,2012,,,2013,27,,"Bishop O'Connell (Arlington, VA)",,24,13,Kendall Marshall (college),,32,24,,25,1,,,22,,,,PHO,2016,,1.0
25,,,,University of Kentucky,28,2012,,,2013,26,,"Oak Hill Academy (Mouth of Wilson, VA)",,22,42,Doron Lamb (college),,21,33,,26,2,,,29,,,,MIL,2014,,-0.2
26,,,,Michigan State University,17,2014,,,2015,30,,"Jefferson Township (Dayton, OH)",,41,15,Adreian Payne (college),,20,31,,27,1,,,26,,,,ATL,2018,,-1.1
27,,,,"University of Nevada, Las Vegas",32,,,,,29,,"Oak Hill Academy (Mouth of Wilson, VA)",,27,,Roscoe Smith (college),,37,41,,28,,,,34,,,,,,,
28,,,,Texas Christian,48,,,,,31,,,,32,,Trey Zeigler (college),,28,29,,29,,,,33,,,,,,,
