,,247Sports,AS,College,DT,Draft,ESPN,FS,From,HM,HS,High School,MP,PS,Pk,Player,PrepStars,RC,RH,RH/PS,RSCI,Rd,Rivals,SC,SI,SN,SS,Scout,Tm,To,VC,WS
85,,,,Oregon State,,,,,,,,,,,,Jaquori McLaughlin (college),,,,,86,,,,,,,,,,,
86,,,,Auburn,,,,,,,,,,,,Jared Harper (college),,,,,87,,,,,,,,,,,
87,,,,North Carolina State,,,,,,,,,,,,Markell Johnson (college),,,,,88,,,,,,,,,,,
88,,,,,,,,,,,,,,,,Gavin Baxter,,,,,89,,,,,,,,,,,
89,,,,Oregon,,,,,,,,,,,,M.J. Cage (college),,,,,90,,,,,,,,,,,
90,,,,Mississippi State,,,,,,,,,,,,Eli Wright (college),,,,,91,,,,,,,,,,,
91,,,,Maryland,,,,,,,,,,,,Justin Jackson (college),,,,,92,,,,,,,,,,,
92,,,,Maryland,,,,,,,,,,,,Bruno Fernando (college),,,,,93,,,,,,,,,,,
93,,,,Utah,,,,,,,,,,,,Jayce Johnson (college),,,,,94,,,,,,,,,,,
94,,,,Marquette,,,,,,,,,,,,Sam Hauser (college),,,,,T94,,,,,,,,,,,
95,,,,Harvard,,,,,,,,,,,,Chris Lewis (college),,,,,96,,,,,,,,,,,
96,,,,Oklahoma,,,,,,,,,,,,Kristian Doolittle (college),,,,,97,,,,,,,,,,,
97,,,,Arizona State,,,,,,,,,,,,Jethro Tshisumpa (college),,,,,98,,,,,,,,,,,
98,,,,Oregon,,,,,,,,,,,,Keith Smith (college),,,,,99,,,,,,,,,,,
99,,,,Seton Hall,,,,,,,,,,,,Myles Powell (college),,,,,100,,,,,,,,,,,
100,,,,Mississippi State,,,,,,,,,,,,Abdul Ado (college),,,,,T100,,,,,,,,,,,
0,,1,,Louisiana State University,,2016,1,,2018,,,"Montverde Academy (Montverde, FL)",,,1,Ben Simmons (college),4,,,,1,1,2,,,,,2,PHI,2018,1,9.2
1,,2,,University of Kentucky,,2016,2,,2017,,,"Lausanne Collegiate School (Memphis, TN)",,,28,Skal Labissiere (college),1,,,,2,1,1,,,,,1,PHO,2018,5,2.6
2,,5,,University of California,,2016,4,,2017,,,"Wheeler (Marietta, GA)",,,3,Jaylen Brown (college),7,,,,3,1,3,,,,,4,BOS,2018,2,6.0
3,,3,,Duke University,,2016,3,,2017,,,"Kinston (Kinston, NC)",,,2,Brandon Ingram (college),2,,,,4,1,4,,,,,3,LAL,2018,14,2.5
4,,11,,University of California,,2017,8,,2018,,,"Bishop O'Dowd (Oakland, CA)",,,35,Ivan Rabb (college),3,,,,5,2,7,,,,,5,ORL,2018,4,1.2
5,,4,,University of Kansas,,2016,7,,2017,,,"New American (Centereach, NY)",,,33,Cheick Diallo (college),17,,,,6,2,5,,,,,9,LAC,2018,3,2.4
6,,8,,University of Maryland,,2016,6,,2017,,,"Dominican (Milwaukee, WI)",,,40,Diamond Stone (college),5,,,,7,2,6,,,,,6,NOP,2017,17,-0.1
7,,7,,Mississippi State,,,10,,,,,,,,,Malik Newman (college),12,,,,8,,8,,,,,10,,,6,
8,,23,,Marquette University,,2016,5,,2017,,,"Rice Lake (Rice Lake, WI)",,,18,Henry Ellenson (college),9,,,,9,1,11,,,,,7,DET,2018,11,-0.1
9,,15,,"University of Nevada, Las Vegas",,2016,12,,2017,,,"Bishop Gorman (Las Vegas, NV)",,,41,Stephen Zimmerman (college),14,,,,10,2,15,,,,,8,ORL,2017,7,-0.0
10,,16,,University of Kentucky,,,13,,,,,"Roselle Catholic (Roselle, NJ)",,,,Isaiah Briscoe (college),8,,,,11,,10,,,,,13,,,13,
11,,6,,Arizona,,,18,,,,,,,,,Allonzo Trier (college),15,,,,12,,12,,,,,20,,,10,
12,,18,,Duke,,,17,,,,,,,,,Derryck Thornton (college),11,,,,13,,14,,,,,11,,,15,
13,,20,,Duke,,,11,,,,,,,,,Chase Jeter (college),28,,,,14,,16,,,,,15,,,8,
14,,14,,Louisiana State University,,,15,,2018,,,"Oak Ridge (Orlando, FL)",,,,Antonio Blakeney (college),20,,,,15,,13,,,,,21,,2018,16,-0.0
15,,31,,Purdue University,,2017,9,,2018,,,"Homestead (Fort Wayne, IN)",,,26,Caleb Swanigan (college),19,,,,16,1,19,,,,,14,POR,2018,9,-0.0
16,,9,,Florida State University,,2017,14,,2018,,,"Oak Hill Academy (Mouth of Wilson, VA)",,,40,Dwayne Bacon (college),25,,,,T16,2,22,,,,,19,NOP,2018,12,-0.1
17,,12,,Arizona,,,29,,,,,,,,,Ray Smith (college),10,,,,18,,17,,,,,16,,,22,
