RSCI,Player,Draft,Year
19,Sam Dekker,2015,2012
20,Kris Dunn,2016,2012
21,Amile Jefferson,,2012
22,Devonta Pollard,,2012
23,Glenn Robinson,2014,2012
24,Tony Parker,,2012
25,Yogi Ferrell,,2012
26,Mitch McGary,2014,2012
27,T.J. Warren,2014,2012
28,Marcus Paige,2016,2012
29,Danuel House,,2012
30,Robert Carter,,2012
31,Perry Ellis,,2012
32,Rico Gathers,,2012
33,Winston Shepard,,2012
34,Shaquille Cleare,,2012
35,Shaq Goodwin,,2012
36,Katin Reinhardt,,2012
37,D'Vauntes Smith-Rivera,,2012
38,Willie Cauley-Stein,2015,2012
39,Omar Calhoun,,2012
40,Brice Johnson,2016,2012
41,Jerami Grant,2014,2012
42,Adam Woodbury,,2012
43,Tyler Lewis,,2012
44,Jeremy Hollowell,,2012
T44,Daniel Ochefu,,2012
46,Cameron Biedscheid,,2012
47,Gabe York,,2012
48,Justin Anderson,2015,2012
49,Semaj Christon,2014,2012
50,Hanner Mosquera-Perea,,2012
T50,Josh Scott,,2012
52,Andrew White,,2012
53,Robert Upshaw,,2012
54,Braxton Ogbueze,,2012
55,Ryan Arcidiacono,,2012
56,Dominic Artis,,2012
57,J.P. Tokoto,2015,2012
58,Joel James,,2012
59,Jordan Adams,2014,2012
60,Montay Brandon,,2012
61,Elijah Macon,,2012
62,Prince Ibeh,,2012
63,James Robinson,,2012
64,Danrad Knowles,,2012
65,J'Mychal Reese,,2012
66,L.J. Rose,,2012
67,Xavier Johnson,,2012
T67,Jake Layman,2016,2012
69,Chris Obekpa,,2012
70,Jordan Price,,2012
71,Georges Niang,2016,2012
72,Torian Graham,,2012
73,Rosco Allen,,2012
74,Evan Nolte,,2012
75,Codi Miller-McIntyre,,2012
T75,Terry Rozier,2015,2012
75,A.J. Hammons,2016,2012
78,Nik Stauskas,2014,2012
79,JaKarr Sampson,,2012
80,Javan Felix,,2012
81,Alex Caruso,,2012
82,Savon Goodman,,2012
T82,Steve Taylor,,2012
84,Melvin Johnson,,2012
85,Montrezl Harrell,2015,2012
86,Michael Frazier,,2012
T86,Matt Costello,,2012
88,Mike Gesell,,2012
T88,Denzel Valentine,2016,2012
90,Arnaud William Adala Moto,,2012
91,Marcus Georges-Hunt,,2012
92,Mike Tobey,,2012
T92,Ronnie Johnson,,2012
94,Anthony January,,2012
T94,Tyrone Wallace,2016,2012
96,Kellen Dunham,,2012
97,Grant Verhoeven,,2012
98,Jordan Loveridge,,2012
T98,Kenny Kaminski,,2012
100,Aaron Thomas,,2012
1,Anthony Davis,2012,2011
2,Austin Rivers,2012,2011
3,Michael Kidd-Gilchrist,2012,2011
4,Bradley Beal,2012,2011
5,Quincy Miller,2012,2011
6,James Michael McAdoo,,2011
7,Marquis Teague,2012,2011
8,Le'Bryan Nash,,2011
9,Adonis Thomas,,2011
10,Cody Zeller,2013,2011
11,Khem Birch,,2011
T11,P.J. Hairston,2014,2011
13,Myck Kabongo,,2011
14,Josiah Turner,,2011
15,Kentavious Caldwell-Pope,2013,2011
16,Jabari Brown,,2011
17,Branden Dawson,2015,2011
18,Tony Wroten,2012,2011
19,Kyle Wiltjer,,2011
20,B.J. Young,,2011
21,Rakeem Christmas,2015,2011
22,Dorian Finney-Smith,,2011
T22,Nick Johnson,2014,2011
24,Chane Behanan,,2011
25,Michael Carter-Williams,2013,2011
26,Wayne Blackshear,,2011
27,Rodney Hood,2014,2011
28,Michael Gbinije,2016,2011
29,Levi Randolph,,2011
30,Jahii Carson,,2011
31,Quinn Cook,,2011
32,Shannon Scott,,2011
T32,DeAndre Daniels,2014,2011
34,Otto Porter,2013,2011
35,Sir'Dominic Pointer,2015,2011
36,Trevor Lacey,,2011
37,Adjehi Baru,,2011
38,Maurice Harkless,2012,2011
39,Johnny O'Bryant,2014,2011
40,Jakarr Sampson,,2011
41,Ben McLemore,2013,2011
42,Rashad Madden,,2011
43,Nick Faust,,2011
44,LaQuinton Ross,,2011
45,Dai-Jon Parker,,2011
46,Sam Thompson,,2011
47,D'Angelo Harrison,,2011
48,Sheldon McClellan,,2011
49,Alex Murphy,,2011
50,Amir Williams,,2011
51,Norvel Pelle,,2011
52,Jamal Branch,,2011
53,Norman Powell,2015,2011
54,Dez Wells,,2011
55,Michael Chandler,,2011
56,Tyrone Johnson,,2011
T56,Deuce Bello,,2011
58,Zach Price,,2011
59,Chris Jones,,2011
T59,Angelo Chol,,2011
61,Marshall Plumlee,,2011
62,Aaron Thomas,,2011
63,Chasson Randle,,2011
64,Ryan Boatright,,2011
65,Mike Shaw,,2011
66,Myke Henry,,2011
67,Antwan Space,,2011
68,Julien Lewis,,2011
69,Tracy Abrams,,2011
70,Jonathan Holmes,,2011
71,Hunter Mickelson,,2011
72,Julian Royal,,2011
73,Amir Garrett,,2011
74,Malcolm Gilbert,,2011
T74,Kevin Ware,,2011
76,Erik Copes,,2011
77,Gary Bell,,2011
78,Nnanna Egwu,,2011
79,Trevor Cooney,,2011
80,Tyler Adams,,2011
81,Juan Anderson,,2011
T81,Myles Mack,,2011
83,Cezar Guerrero,,2011
T83,Joseph Uchebo,,2011
85,Jabarie Hinds,,2011
86,D.J. Gardner,,2011
T86,Robert Brown,,2011
86,Derrick Gordon,,2011
89,Sidiki Johnson,,2011
90,Rodney Cooper,,2011
91,Naadir Tharpe,,2011
92,Deville Smith,,2011
93,Shaquille Thomas,,2011
94,Malcolm Brogdon,2016,2011
95,Kedren Johnson,,2011
96,Bernard Sullivan,,2011
97,Carlton Brundidge,,2011
98,Mikael Hopkins,,2011
99,Damien Leonard,,2011
100,C.J. Barksdale,,2011
1,Harrison Barnes,2012,2010
2,Kyrie Irving,2011,2010
T2,Jared Sullinger,2012,2010
4,Brandon Knight,2011,2010
5,Tobias Harris,2011,2010
6,Josh Selby,2011,2010
7,Enes Kanter,2011,2010
8,Perry Jones,2012,2010
9,Tristan Thompson,2011,2010
10,Will Barton,2012,2010
11,Terrence Jones,2012,2010
12,C.J. Leslie,,2010
13,Cory Joseph,2011,2010
14,Fab Melo,2012,2010
15,Reggie Bullock,2013,2010
16,Joe Jackson,,2010
17,Deshaun Thomas,2013,2010
18,Joshua Smith,,2010
19,Patric Young,,2010
20,Tony Mitchell,2013,2010
21,Jelan Kendrick,,2010
22,Ryan Harrow,,2010
T22,Ray McCallum,2013,2010
24,Jereme Richmond,,2010
25,Kendall Marshall,2012,2010
26,Doron Lamb,2012,2010
27,Adreian Payne,2014,2010
28,Roscoe Smith,,2010
29,Trey Zeigler,,2010
T29,Meyers Leonard,2012,2010
31,Dion Waiters,2012,2010
32,Josh Hairston,,2010
33,Terrence Ross,2012,2010
34,Keith Appling,,2010
35,Ian Miller,,2010
36,Cameron Clark,,2010
37,Justin Coleman,,2010
38,Dwight Powell,2014,2010
39,Tyler Lamb,,2010
40,Jordan McRae,2014,2010
41,Phil Pressey,,2010
42,Nate Lubick,,2010
43,Okaro White,,2010
44,Dominique Ferguson,,2010
45,Luke Cothron,,2010
46,Jayvaughn Pinkston,,2010
47,K.T. Harrell,,2010
48,Vander Blue,,2010
49,Travis McKie,,2010
50,Stacey Poole,,2010
51,JT Terrell,,2010
52,Casey Prather,,2010
53,Keala King,,2010
54,Anthony Brown,2015,2010
55,Mychal Parker,,2010
56,Lorenzo Brown,2013,2010
57,Gary Franklin,,2010
58,James Johnson,,2010
59,Tarik Black,,2010
60,Trevor Releford,,2010
61,Damontre Harris,,2010
T61,Rion Brown,,2010
63,Jordan Sibert,,2010
64,Gerard Coleman,,2010
65,James Bell,,2010
66,Carson Desrosiers,,2010
67,J.J. Moore,,2010
68,Noah Cottrill,,2010
69,Gorgui Dieng,2013,2010
70,Daniel Bejarano,,2010
71,Allen Crabbe,2013,2010
72,Mike Cobbins,,2010
73,Bruce Ellington,,2010
74,Jamail Jones,,2010
75,Shabazz Napier,2014,2010
76,Crandall Head,,2010
77,Jason Morris,,2010
78,Jeremy Lamb,2012,2010
79,Juwan Staten,,2010
80,Evan Smotrycz,,2010
81,Rod Odom,,2010
82,Bryce Dejean-Jones,,2010
83,Kadeem Jack,,2010
84,Terone Johnson,,2010
85,Matt Derenbecker,,2010
86,Trae Golden,,2010
