PLAYER,YEAR,TEAM,HT,POS,AGE
Jaylin Walker,Junior,Kent State,6/1,SG,20.7
Aaron Menzies,Junior,Eastern Washington,7/3,C,21.7
Mike Amius,Junior,Western Carolina,6/7,F,
Sedrick Barefield,Junior,Utah,6/2,PG,21.4
Lamonte Bearden,Junior,Western Kentucky,6/3,G,22.4
Tashawn Berry,Junior,Dakota College,6/3,SG,
Shawntrez Davis,Junior,Bethune Cookman,6/9,PF,21
Dextor Foster,Junior,ASA College,6/5,SF,21.6
Kaiser Gates,Junior,Xavier,6/8,SF,21.4
Michael Gilmore,Junior,FGCU,6/10,PF,23.2
Zach Hankins,Junior,Xavier,6/10,C,
Malik Hines,Junior,Massachusetts,6/10,PF,
Marquez Letcher-Ellis,Junior,Rice,6/7,SF,20.8
Abdul Lewis,Junior,NJIT,6/10,PF,22.3
Victor Lewis,Junior,West Texas A&M,6/5,SF,
Makinde London,Junior,Chattanooga,6/10,PF,22
Malik Martin,Junior,South Florida,6/11,C,23.2
Christian Mekowulu,Junior,Tennessee State,6/9,PF,23.1
Travis Munnings,Junior,ULM,6/6,F,23.6
Jordan Murdock,Junior,Friends,6/4,PF,
Keanu Peters,Junior,Salt Lake,6/4,PG,
Ronshad Shabazz,Junior,Appalachian State,6/5,SG,22.1
Devonte Klines,Junior,Montana State,6/1,PG,22.8
Kevin Huerter,Sophomore,Maryland,6/6,SG,19.6
Charles Matthews,Sophomore,Michigan,6/6,SG,21.4
Quinton Rose,Sophomore,Temple,6/8,SF,20.2
Udoka Azubuike,Sophomore,Kansas,6/11,C,18.6
Lamar Peters,Sophomore,Mississippi State,6/1,PG,19.8
Ky Bowman,Sophomore,Boston College,6/1,PG/SG,20.8
Wenyen Gabriel,Sophomore,Kentucky,6/9,PF,21
Nick Ward,Sophomore,Michigan State,6/8,C,20.6
Dewan Huell,Sophomore,Miami (FL),6/1,PF,21.3
Tyler Cook,Sophomore,Iowa,6/9,PF/C,20.5
Jordan Brangers,Sophomore,South Plains CC,6/2,SG,
Eugene German,Sophomore,Northern Illinois,6/10,G,20.3
Isaiah Moss,Sophomore,Iowa,6/3,F,21.5
Zane Martin,Sophomore,Towson,6/4,G,
Jared Harper,Sophomore,Auburn,5/10,PG,20.6
Yoeli Childs,Sophomore,BYU,6/8,C,20.2
Isaiah Reese,Sophomore,Canisius,6/5,PG,21.3
Christian Keeling,Sophomore,Charleston Southern,6/4,SG,19.9
Christian Vital,Sophomore,UConn,6/2,SG,21
Renathan Ona Embo,Sophomore,Tulane,6/5,SG,19.5
Tremaine Fraiser,Sophomore,Westchester,6/3,PG,
Brian Bowen,Freshman,South Carolina,6/7,SF,19.5
Bruno Fernando,Freshman,Maryland,6/11,C,19.6
Jaylen Hands,Freshman,UCLA,6/3,PG,18.5
Jalen McDaniels,Freshman,San Diego State,6/9,PF,20.2
Nojel Eastern,Freshman,Purdue,6/6,SG,18.9
Takal Molson,Freshman,Canisius,6/6,SF,19.4
Jalon Pipkins,Freshman,CSUN,6/4,SG,19.4
Cody Riley,Freshman,UCLA,6/10,C,20.3
Ismaila Kane,Freshman,Atlanta Metro,6/9,C,
